,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,196,-39.0,-11.0,,-25.0,-53.0,,,,,,,
1,197,-27.0,-8.0,,-29.0,-51.0,,,,,,,
2,198,-27.0,-7.0,,-31.0,-50.0,,,,,,,
3,199,-34.0,-6.0,,-22.0,-50.0,,,,,,,
4,200,-36.0,0.0,,-2.0,-16.0,,,,,,,
5,201,-22.0,-3.0,,-1.0,-15.0,,,,,,,
6,202,-24.0,-2.0,,-12.0,-51.0,,,,,,,
7,203,-24.0,-8.0,,-8.0,-52.0,,-22.0,-14.0,,-49.0,-55.0,14.0
8,204,-30.0,-11.0,,-29.0,-51.0,,-25.0,-16.0,45.0,-51.0,-55.0,15.0
9,205,-26.0,-1.0,,-26.0,-49.0,13.0,-25.0,-13.0,39.0,-51.0,-55.0,17.0
10,206,-30.0,-6.0,,-8.0,-48.0,,-32.0,-17.0,57.0,-46.0,-54.0,13.0
11,207,-34.0,-2.0,,-2.0,-15.0,,-40.0,-20.0,4.0,-42.0,-27.0,6.0
12,208,-25.0,-4.0,,7.0,-8.0,,-36.0,-21.0,41.0,-38.0,-22.0,3.0
13,209,-31.0,-12.0,,-25.0,-52.0,,-25.0,-18.0,21.0,-46.0,-58.0,16.0
14,210,-22.0,-7.0,,-18.0,-50.0,12.0,-17.0,-12.0,,-46.0,-55.0,14.0
15,211,-22.0,-6.0,,-12.0,-48.0,11.0,-18.0,-14.0,87.0,-46.0,-55.0,14.0
16,212,-29.0,-9.0,,-31.0,-50.0,,-18.0,-11.0,78.0,-38.0,-56.0,14.0
17,213,-32.0,-7.0,,-5.0,-47.0,,-31.0,-16.0,58.0,-36.0,-55.0,12.0
18,214,-32.0,-6.0,,-2.0,-14.0,,-35.0,-18.0,20.0,-26.0,-22.0,4.0
19,215,-22.0,-8.0,,0.0,-9.0,,-28.0,-16.0,44.0,-23.0,-22.0,4.0
20,216,-19.0,-7.0,,-8.0,-49.0,,-8.0,-14.0,99.0,-29.0,-55.0,13.0
21,217,-36.0,-23.0,,-37.0,-52.0,,-9.0,-14.0,,-35.0,-55.0,14.0
22,218,-11.0,-9.0,,-22.0,-48.0,12.0,-8.0,-16.0,75.0,-40.0,-54.0,13.0
23,219,-18.0,-7.0,,-7.0,-47.0,11.0,-15.0,-11.0,100.0,-39.0,-55.0,13.0
24,220,-25.0,-5.0,,-9.0,-48.0,,-28.0,-16.0,54.0,-38.0,-54.0,11.0
25,221,-26.0,-1.0,,36.0,-11.0,,-34.0,-18.0,33.0,-29.0,-23.0,3.0
26,222,-15.0,-2.0,,16.0,-3.0,,-28.0,-20.0,38.0,-28.0,-20.0,3.0
27,223,-6.0,-5.0,,-9.0,-47.0,10.0,-3.0,-14.0,100.0,-32.0,-55.0,11.0
28,224,-10.0,-8.0,,-8.0,-46.0,10.0,-2.0,-12.0,,-38.0,-54.0,12.0
29,225,-4.0,-4.0,,-8.0,-45.0,9.0,-6.0,-14.0,83.0,-38.0,-54.0,12.0
