,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,264,-17.0,-7.0,85.0,-12.0,-5.0,2.0,-22.0,-12.0,34.0,-21.0,-18.0,3.0
1,265,-8.0,-3.0,86.0,-25.0,-32.0,8.0,-13.0,-9.0,77.0,-32.0,-46.0,10.0
2,266,-15.0,-3.0,54.0,-28.0,-30.0,9.0,-15.0,-10.0,78.0,-37.0,-44.0,10.0
3,267,-14.0,-2.0,59.0,-30.0,-29.0,9.0,-22.0,-17.0,-1.0,-42.0,-44.0,13.0
4,268,-14.0,-2.0,64.0,-30.0,-29.0,10.0,-19.0,-11.0,17.0,-40.0,-44.0,12.0
5,269,-15.0,0.0,67.0,-30.0,-28.0,9.0,-23.0,-10.0,2.0,-31.0,-42.0,11.0
6,270,-16.0,-1.0,101.0,-20.0,-7.0,5.0,-25.0,-8.0,5.0,-24.0,-16.0,6.0
7,271,-12.0,-5.0,110.0,-16.0,-4.0,3.0,-22.0,-6.0,14.0,-22.0,-15.0,5.0
8,272,-12.0,-2.0,55.0,-29.0,-29.0,9.0,-12.0,-5.0,51.0,-31.0,-41.0,11.0
9,273,-11.0,-2.0,84.0,-27.0,-28.0,9.0,-12.0,-5.0,67.0,-36.0,-41.0,10.0
10,274,-19.0,-6.0,-3.0,-39.0,-30.0,11.0,-20.0,-13.0,-5.0,-42.0,-43.0,13.0
11,275,-15.0,-2.0,36.0,-35.0,-28.0,10.0,-17.0,-6.0,39.0,-39.0,-40.0,11.0
12,276,-15.0,1.0,75.0,-24.0,-25.0,8.0,-26.0,-5.0,-2.0,-29.0,-39.0,11.0
13,277,-30.0,-11.0,-29.0,-34.0,-12.0,8.0,-31.0,-11.0,-32.0,-27.0,-17.0,8.0
14,278,-18.0,-8.0,47.0,-22.0,-7.0,5.0,-24.0,-5.0,5.0,-22.0,-15.0,5.0
15,279,-17.0,-8.0,27.0,-30.0,-34.0,10.0,-20.0,-4.0,25.0,-32.0,-41.0,11.0
16,280,-14.0,0.0,53.0,-29.0,-30.0,9.0,-20.0,-6.0,18.0,-34.0,-41.0,12.0
17,281,-13.0,-3.0,49.0,-30.0,-28.0,9.0,-20.0,-8.0,24.0,-38.0,-40.0,11.0
18,282,-14.0,-1.0,52.0,-30.0,-28.0,10.0,-21.0,-7.0,18.0,-38.0,-41.0,12.0
19,283,-20.0,0.0,43.0,-30.0,-28.0,9.0,-26.0,-7.0,3.0,-32.0,-39.0,11.0
20,284,-25.0,-2.0,54.0,-28.0,-9.0,6.0,-28.0,-7.0,-13.0,-24.0,-15.0,7.0
21,285,-19.0,-7.0,93.0,-23.0,-7.0,4.0,-27.0,-8.0,13.0,-28.0,-14.0,5.0
22,286,-20.0,-7.0,9.0,-38.0,-45.0,12.0,-23.0,-9.0,-1.0,-36.0,-42.0,13.0
23,287,-17.0,-4.0,52.0,-36.0,-44.0,12.0,-22.0,-8.0,17.0,-39.0,-41.0,13.0
24,288,-16.0,-3.0,39.0,-38.0,-43.0,12.0,-23.0,-8.0,20.0,-39.0,-39.0,12.0
25,289,-15.0,0.0,67.0,-35.0,-43.0,12.0,-23.0,-7.0,16.0,-40.0,-41.0,13.0
26,290,-18.0,2.0,57.0,-38.0,-42.0,11.0,-28.0,-6.0,3.0,-33.0,-37.0,11.0
27,291,-27.0,-2.0,55.0,-31.0,-13.0,6.0,-37.0,-10.0,-15.0,-36.0,-18.0,9.0
28,292,-23.0,-8.0,42.0,-31.0,-10.0,5.0,-36.0,-11.0,2.0,-38.0,-18.0,7.0
29,293,-18.0,-7.0,0.0,-41.0,-45.0,12.0,-27.0,-8.0,13.0,-37.0,-42.0,13.0
30,294,-17.0,-3.0,33.0,-37.0,-43.0,12.0,-25.0,-9.0,30.0,-41.0,-41.0,13.0
31,295,-14.0,-4.0,53.0,-35.0,-41.0,12.0,-29.0,-10.0,0.0,-42.0,-40.0,14.0
32,296,-17.0,-2.0,40.0,-38.0,-41.0,12.0,-27.0,-8.0,11.0,-43.0,-41.0,14.0
33,297,-18.0,1.0,35.0,-38.0,-40.0,12.0,-30.0,-8.0,-10.0,-35.0,-39.0,14.0
34,298,-26.0,-1.0,18.0,-35.0,-11.0,8.0,-38.0,-12.0,-36.0,-38.0,-17.0,9.0
35,299,-17.0,-2.0,63.0,-29.0,-6.0,5.0,-29.0,-8.0,17.0,-32.0,-14.0,6.0
36,300,-15.0,0.0,26.0,-31.0,-28.0,9.0,-13.0,-6.0,27.0,-33.0,-52.0,15.0
37,301,-19.0,0.0,13.0,-34.0,-29.0,11.0,-12.0,-4.0,16.0,-38.0,-52.0,16.0
38,302,-13.0,4.0,27.0,-32.0,-27.0,10.0,-8.0,-3.0,56.0,-35.0,-49.0,14.0
39,303,-18.0,2.0,-2.0,-35.0,-28.0,11.0,-11.0,-2.0,25.0,-35.0,-51.0,16.0
40,304,-15.0,7.0,43.0,-30.0,-25.0,9.0,-20.0,-2.0,26.0,-29.0,-50.0,14.0
41,305,-27.0,0.0,-8.0,-34.0,-8.0,8.0,-35.0,-8.0,-27.0,-27.0,-15.0,9.0
42,306,-25.0,-11.0,-4.0,-37.0,-7.0,6.0,-27.0,-10.0,-12.0,-24.0,-12.0,6.0
43,307,-16.0,-2.0,17.0,-34.0,-28.0,10.0,-10.0,-3.0,2.0,-28.0,-39.0,12.0
44,308,-17.0,-2.0,24.0,-32.0,-28.0,10.0,-6.0,2.0,6.0,-31.0,-39.0,11.0
45,309,-16.0,-1.0,20.0,-33.0,-26.0,10.0,-4.0,-1.0,3.0,-31.0,-36.0,10.0
46,310,-17.0,1.0,28.0,-32.0,-26.0,11.0,-63.0,-21.0,-24.0,-64.0,-48.0,19.0
47,311,-19.0,2.0,27.0,-33.0,-25.0,10.0,-67.0,-18.0,-40.0,-67.0,-48.0,20.0
48,312,-21.0,-1.0,24.0,-30.0,-6.0,7.0,-73.0,-26.0,-54.0,-75.0,-42.0,16.0
49,313,-27.0,-11.0,-26.0,-38.0,-7.0,6.0,-73.0,-24.0,-42.0,-71.0,-43.0,13.0
50,314,-18.0,-2.0,7.0,-34.0,-28.0,10.0,-59.0,-18.0,-23.0,-63.0,-49.0,18.0
51,315,-16.0,-3.0,16.0,-32.0,-29.0,11.0,-57.0,-17.0,-15.0,-62.0,-48.0,18.0
52,316,-17.0,-5.0,-6.0,-36.0,-27.0,11.0,-58.0,-17.0,-26.0,-63.0,-48.0,19.0
53,317,-13.0,0.0,23.0,-31.0,-29.0,11.0,-56.0,-14.0,-12.0,-64.0,-48.0,19.0
54,318,-21.0,-2.0,11.0,-40.0,-39.0,14.0,-61.0,-14.0,-35.0,-62.0,-48.0,20.0
55,319,-27.0,-3.0,4.0,-34.0,-11.0,9.0,-68.0,-19.0,-58.0,-72.0,-43.0,16.0
56,320,-30.0,-11.0,-14.0,-38.0,-10.0,7.0,-68.0,-23.0,-36.0,-72.0,-41.0,12.0
57,321,-18.0,-4.0,4.0,-35.0,-29.0,11.0,-55.0,-16.0,-24.0,-60.0,-48.0,18.0
58,322,-22.0,-5.0,-5.0,-35.0,-30.0,12.0,-54.0,-12.0,-5.0,-59.0,-47.0,18.0
59,323,-22.0,-5.0,-16.0,-38.0,-29.0,12.0,-57.0,-19.0,-31.0,-63.0,-47.0,19.0
60,324,-21.0,1.0,13.0,-35.0,-29.0,12.0,-54.0,-11.0,-14.0,-62.0,-48.0,18.0
61,325,-24.0,2.0,-13.0,-35.0,-28.0,13.0,-60.0,-13.0,-46.0,-62.0,-47.0,20.0
62,326,-26.0,2.0,0.0,-32.0,-9.0,9.0,-65.0,-16.0,-50.0,-68.0,-41.0,15.0
63,327,-25.0,-6.0,14.0,-33.0,-9.0,7.0,-65.0,-18.0,-20.0,-69.0,-40.0,12.0
64,328,-19.0,-3.0,-9.0,-36.0,-29.0,12.0,-53.0,-14.0,-20.0,-59.0,-47.0,18.0
65,329,-21.0,0.0,-9.0,-35.0,-29.0,12.0,-53.0,-12.0,-13.0,-62.0,-46.0,18.0
66,330,-17.0,-1.0,6.0,-35.0,-27.0,11.0,-54.0,-15.0,-17.0,-61.0,-46.0,19.0
67,331,-17.0,-1.0,1.0,-34.0,-27.0,12.0,-53.0,-11.0,-9.0,-62.0,-47.0,18.0
68,332,-17.0,3.0,-4.0,-32.0,-26.0,11.0,-55.0,-9.0,-16.0,-59.0,-45.0,18.0
69,333,-22.0,1.0,22.0,-29.0,-6.0,8.0,-64.0,-17.0,-52.0,-68.0,-39.0,14.0
70,334,-23.0,-7.0,-6.0,-33.0,-6.0,7.0,-63.0,-17.0,-26.0,-67.0,-38.0,12.0
71,335,-11.0,1.0,-2.0,-32.0,-28.0,11.0,-48.0,-10.0,-21.0,-58.0,-45.0,17.0
72,336,-15.0,2.0,0.0,-32.0,-27.0,11.0,-48.0,-7.0,-6.0,-56.0,-42.0,16.0
73,337,-17.0,2.0,-8.0,-37.0,-27.0,11.0,-29.0,-5.0,3.0,-43.0,-36.0,14.0
74,338,-18.0,3.0,-4.0,-37.0,-28.0,12.0,-29.0,-2.0,-12.0,-37.0,-39.0,15.0
75,339,-32.0,-5.0,-38.0,-40.0,-31.0,15.0,-35.0,-3.0,-25.0,-29.0,-37.0,15.0
76,340,-24.0,5.0,-22.0,-32.0,-8.0,9.0,-35.0,-3.0,-4.0,-22.0,-11.0,8.0
77,341,-20.0,-3.0,6.0,-30.0,-5.0,6.0,-40.0,-7.0,-16.0,-28.0,-12.0,8.0
78,342,-12.0,3.0,-5.0,-34.0,-28.0,10.0,-22.0,0.0,13.0,-25.0,-39.0,13.0
79,343,-15.0,4.0,-12.0,-34.0,-27.0,11.0,-26.0,-2.0,2.0,-32.0,-37.0,13.0
80,344,-18.0,2.0,-6.0,-35.0,-26.0,11.0,-28.0,-5.0,0.0,-33.0,-36.0,13.0
81,345,-17.0,5.0,-4.0,-34.0,-27.0,11.0,-28.0,-2.0,4.0,-35.0,-37.0,14.0
82,346,-19.0,6.0,-9.0,-34.0,-26.0,11.0,-35.0,-4.0,-9.0,-29.0,-35.0,14.0
83,347,-27.0,3.0,-23.0,-31.0,-8.0,8.0,-38.0,-4.0,-18.0,-20.0,-11.0,8.0
84,348,-30.0,-9.0,-35.0,-39.0,-8.0,7.0,-44.0,-13.0,-36.0,-28.0,-14.0,9.0
85,349,-13.0,7.0,-1.0,-30.0,-28.0,10.0,-22.0,3.0,19.0,-27.0,-39.0,13.0
86,350,-13.0,9.0,7.0,-29.0,-28.0,10.0,-24.0,1.0,22.0,-31.0,-37.0,12.0
87,351,-14.0,8.0,-12.0,-35.0,-27.0,11.0,-31.0,-4.0,-13.0,-36.0,-37.0,14.0
88,352,-14.0,10.0,3.0,-32.0,-27.0,11.0,-22.0,4.0,15.0,-34.0,-37.0,13.0
89,353,-16.0,9.0,-9.0,-31.0,-25.0,11.0,-31.0,0.0,-8.0,-25.0,-37.0,14.0
