,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,207,60.0,48.0,345.0,24.0,-33.0,4.0,12.0,19.0,142.0,-20.0,-47.0,9.0
1,208,54.0,48.0,284.0,21.0,-34.0,6.0,16.0,19.0,146.0,-27.0,-45.0,10.0
2,209,63.0,41.0,258.0,14.0,-32.0,7.0,10.0,12.0,81.0,-27.0,-44.0,11.0
3,210,55.0,43.0,264.0,9.0,-34.0,7.0,14.0,19.0,126.0,-24.0,-44.0,10.0
4,211,37.0,32.0,269.0,13.0,-30.0,4.0,-4.0,5.0,23.0,-21.0,-45.0,10.0
5,212,29.0,40.0,239.0,21.0,-2.0,0.0,-11.0,8.0,31.0,-9.0,-9.0,2.0
6,213,54.0,42.0,284.0,27.0,-3.0,-1.0,-5.0,10.0,78.0,-9.0,-9.0,1.0
7,214,66.0,51.0,375.0,30.0,-38.0,4.0,19.0,18.0,151.0,-18.0,-48.0,9.0
8,215,62.0,54.0,339.0,24.0,-34.0,4.0,20.0,19.0,177.0,-25.0,-47.0,9.0
9,216,64.0,47.0,339.0,24.0,-32.0,5.0,11.0,11.0,115.0,-28.0,-45.0,10.0
10,217,53.0,44.0,298.0,19.0,-34.0,6.0,14.0,18.0,122.0,-28.0,-45.0,10.0
11,218,36.0,30.0,231.0,9.0,-32.0,6.0,0.0,10.0,51.0,-21.0,-46.0,10.0
12,219,19.0,32.0,217.0,13.0,-3.0,1.0,-13.0,4.0,32.0,-10.0,-14.0,2.0
13,220,45.0,38.0,265.0,19.0,-1.0,0.0,-4.0,9.0,71.0,-11.0,-10.0,1.0
14,221,64.0,47.0,324.0,30.0,-32.0,4.0,17.0,17.0,152.0,-17.0,-47.0,9.0
15,222,61.0,50.0,303.0,26.0,-32.0,4.0,20.0,18.0,172.0,-25.0,-47.0,9.0
16,223,64.0,40.0,269.0,20.0,-30.0,6.0,13.0,9.0,147.0,-22.0,-45.0,9.0
17,224,55.0,42.0,294.0,21.0,-31.0,5.0,11.0,10.0,148.0,-21.0,-45.0,9.0
18,225,38.0,28.0,236.0,11.0,-28.0,5.0,-3.0,6.0,88.0,-14.0,-46.0,8.0
19,226,29.0,37.0,226.0,24.0,0.0,0.0,-15.0,-1.0,40.0,-8.0,-15.0,1.0
20,227,52.0,38.0,253.0,28.0,2.0,0.0,-7.0,4.0,63.0,-10.0,-10.0,1.0
21,228,63.0,46.0,328.0,30.0,-25.0,4.0,16.0,12.0,149.0,-14.0,-48.0,9.0
22,229,57.0,47.0,296.0,29.0,-20.0,3.0,20.0,14.0,151.0,-19.0,-48.0,9.0
23,230,58.0,45.0,314.0,32.0,-16.0,4.0,14.0,8.0,235.0,-12.0,-45.0,9.0
24,231,47.0,41.0,294.0,23.0,-18.0,4.0,15.0,11.0,,-10.0,-45.0,9.0
25,232,36.0,31.0,280.0,19.0,-16.0,3.0,1.0,6.0,167.0,0.0,-46.0,7.0
26,233,30.0,38.0,222.0,19.0,-1.0,1.0,-15.0,-1.0,81.0,11.0,-14.0,3.0
27,234,55.0,36.0,290.0,30.0,1.0,0.0,-4.0,8.0,53.0,-4.0,-9.0,1.0
28,235,53.0,46.0,346.0,34.0,-19.0,3.0,22.0,15.0,162.0,-12.0,-48.0,8.0
