,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,56,,,,-20.0,-30.0,,,,,,,
1,57,,,,-49.0,,,,,,,,
2,59,,,,,-28.0,,,,,,,
3,60,,,,,-28.0,,,,,,,
4,61,,,,,-29.0,,,,,,,
5,62,,,,,-28.0,,,,,,,
6,63,,,,-28.0,-33.0,,,,,,,
7,66,,,,,-26.0,,,,,,,
8,67,,,,-36.0,-25.0,,,,,,,
9,68,,,,,-28.0,,,,,,,
10,69,,,,-26.0,-24.0,,,,,,,
11,70,,,,-30.0,-30.0,,,,,,,
12,73,,,,,-30.0,,,,,,,
13,74,,,,-34.0,-26.0,,,,,,,
14,75,,,,,-27.0,,,,,,,
15,76,,,,-41.0,-28.0,,,,,,,
16,77,,,,-29.0,-30.0,,,,,,,
17,80,,,,,-27.0,,,,,,,
18,81,,,,,-28.0,,,,,,,
19,82,,,,,-33.0,,,,,,,
20,83,,,,-25.0,-35.0,,,,,,,
21,84,,,,-21.0,-34.0,,,,,,,
22,87,,,,,-29.0,,,,,,,
23,88,,,,,-28.0,,,,,,,
24,89,,,,,-29.0,,,,,,,
25,90,,,,,-26.0,,,,,,,
26,91,,,,-30.0,-29.0,,-17.0,0.0,-18.0,-26.0,-31.0,8.0
27,92,,,,,,,-13.0,3.0,-10.0,-9.0,-13.0,2.0
28,93,,,,,,,-10.0,7.0,4.0,-15.0,-9.0,1.0
29,94,,,,,-38.0,,-8.0,5.0,17.0,-26.0,-33.0,8.0
30,95,,,,,-38.0,,-4.0,6.0,18.0,-29.0,-32.0,7.0
31,96,,,,,-37.0,,-7.0,2.0,11.0,-30.0,-30.0,7.0
32,97,,,,,-38.0,,-6.0,7.0,9.0,-29.0,-31.0,7.0
33,98,,,,,-45.0,,-10.0,6.0,5.0,-16.0,-31.0,6.0
34,99,,,,,,,-15.0,4.0,3.0,-5.0,-12.0,1.0
35,100,,,,,,,-7.0,10.0,21.0,-9.0,-8.0,0.0
36,101,,,,,-40.0,,9.0,14.0,48.0,-18.0,-41.0,7.0
37,102,,,,,-38.0,,12.0,16.0,46.0,-24.0,-41.0,9.0
38,103,,,,,-39.0,,9.0,14.0,51.0,-22.0,-39.0,7.0
39,104,,,,,-40.0,,17.0,25.0,84.0,-17.0,-41.0,6.0
40,105,,,,,-53.0,,4.0,7.0,69.0,-19.0,-67.0,11.0
41,106,,,,,,,-12.0,10.0,39.0,-12.0,-17.0,0.0
42,107,,,,,,,-34.0,-37.0,45.0,-22.0,-19.0,0.0
43,108,,,,,-52.0,,19.0,8.0,89.0,-23.0,-73.0,11.0
44,109,,,,,-24.0,,8.0,16.0,63.0,-24.0,-43.0,7.0
45,110,,,,,-26.0,,3.0,11.0,66.0,-26.0,-39.0,7.0
46,111,,,,,-24.0,,5.0,12.0,63.0,-24.0,-38.0,6.0
47,112,,,,,-26.0,,-5.0,8.0,30.0,-17.0,-38.0,6.0
48,113,,,,,,,-14.0,5.0,6.0,-9.0,-9.0,0.0
49,114,,,,,,,-10.0,7.0,25.0,-9.0,-5.0,0.0
50,115,,,,,-22.0,,-5.0,10.0,16.0,-20.0,-29.0,6.0
51,116,,,,,-21.0,,-4.0,11.0,23.0,-23.0,-27.0,5.0
52,117,,,,,-21.0,,-6.0,9.0,21.0,-23.0,-25.0,5.0
53,118,,,,,-23.0,,-2.0,11.0,26.0,-23.0,-25.0,5.0
54,119,,,,,-35.0,,-6.0,12.0,22.0,-12.0,-27.0,4.0
55,120,,,,,,,-7.0,8.0,39.0,4.0,-10.0,-1.0
56,121,,,,,,,11.0,17.0,44.0,-2.0,-5.0,-1.0
57,122,,,,,-51.0,,26.0,8.0,87.0,-18.0,-71.0,13.0
58,123,,,,,-23.0,,5.0,20.0,33.0,-17.0,-26.0,5.0
59,124,,,,,-25.0,,2.0,12.0,18.0,-20.0,-24.0,5.0
60,125,,,,,-24.0,,5.0,16.0,45.0,-14.0,-25.0,4.0
