,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,202,-7.0,0.0,,-48.0,-61.0,14.0,,,,,,
1,203,-8.0,1.0,,-44.0,-55.0,15.0,,,,,,
2,204,-23.0,-6.0,,-54.0,-55.0,18.0,,,,,,
3,205,-18.0,2.0,,-44.0,-54.0,16.0,,,,,,
4,206,-20.0,0.0,,-43.0,-51.0,14.0,,,,,,
5,207,-21.0,-3.0,,-35.0,-11.0,,,,,,,
6,208,-15.0,-15.0,,-3.0,-2.0,,-36.0,-21.0,41.0,-38.0,-22.0,3.0
7,209,-23.0,-10.0,,-57.0,-58.0,16.0,-25.0,-18.0,21.0,-46.0,-58.0,16.0
8,210,-8.0,2.0,,-47.0,-53.0,15.0,-17.0,-12.0,,-46.0,-55.0,14.0
9,211,-10.0,-1.0,,-44.0,-54.0,15.0,-18.0,-14.0,87.0,-46.0,-55.0,14.0
10,212,-13.0,0.0,,-52.0,-55.0,15.0,-18.0,-11.0,78.0,-38.0,-56.0,14.0
11,213,-16.0,-7.0,,-47.0,-53.0,12.0,-31.0,-16.0,58.0,-36.0,-55.0,12.0
12,214,-17.0,-8.0,,-39.0,-8.0,,-35.0,-18.0,20.0,-26.0,-22.0,4.0
13,215,-8.0,-14.0,,-23.0,-5.0,,-28.0,-16.0,44.0,-23.0,-22.0,4.0
14,216,6.0,-1.0,,-48.0,-56.0,13.0,-8.0,-14.0,99.0,-29.0,-55.0,13.0
15,217,-15.0,-17.0,,-62.0,-57.0,17.0,-9.0,-14.0,,-35.0,-55.0,14.0
16,218,-1.0,-3.0,,-51.0,-53.0,15.0,-8.0,-16.0,75.0,-40.0,-54.0,13.0
17,219,-6.0,-1.0,,-43.0,-52.0,13.0,-15.0,-11.0,100.0,-39.0,-55.0,13.0
18,220,-13.0,-5.0,,-46.0,-52.0,13.0,-28.0,-16.0,54.0,-38.0,-54.0,11.0
19,221,-15.0,-4.0,,-28.0,-3.0,,-34.0,-18.0,33.0,-29.0,-23.0,3.0
20,222,-4.0,-8.0,,-5.0,4.0,,-28.0,-20.0,38.0,-28.0,-20.0,3.0
21,223,16.0,0.0,,-42.0,-53.0,13.0,-3.0,-14.0,100.0,-32.0,-55.0,11.0
22,224,16.0,4.0,,-42.0,-52.0,14.0,-2.0,-12.0,,-38.0,-54.0,12.0
23,225,12.0,6.0,,-36.0,-50.0,14.0,-6.0,-14.0,83.0,-38.0,-54.0,12.0
24,226,-7.0,7.0,,-39.0,-49.0,13.0,-13.0,-13.0,84.0,-39.0,-55.0,13.0
25,227,-8.0,3.0,,-36.0,-46.0,11.0,-21.0,-14.0,57.0,-32.0,-53.0,11.0
26,228,-13.0,0.0,,-25.0,-5.0,,-31.0,-21.0,21.0,-26.0,-22.0,4.0
27,229,-5.0,-5.0,,-6.0,0.0,,-27.0,-18.0,13.0,-28.0,-22.0,4.0
28,230,,,,,-50.0,12.0,,-15.0,,-31.0,-56.0,12.0
29,231,,,,,-45.0,12.0,,,,-31.0,-52.0,12.0
30,232,,,,,-44.0,12.0,,-18.0,,-33.0,-53.0,13.0
31,233,,,,,-46.0,13.0,-9.0,,,-34.0,-53.0,12.0
32,234,,,,,-45.0,13.0,-21.0,-14.0,,-33.0,-53.0,13.0
