,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,171,-4.0,6.0,,-30.0,-10.0,1.0,-15.0,9.0,34.0,-22.0,-11.0,1.0
1,172,-2.0,12.0,,-18.0,-26.0,6.0,-6.0,9.0,50.0,-30.0,-38.0,10.0
2,173,0.0,12.0,,-16.0,-26.0,6.0,-4.0,14.0,84.0,-33.0,-36.0,10.0
3,174,-5.0,8.0,,-28.0,-29.0,8.0,-7.0,9.0,71.0,-35.0,-35.0,9.0
4,175,-7.0,11.0,,-31.0,-29.0,8.0,-4.0,13.0,78.0,-33.0,-34.0,10.0
5,176,-4.0,9.0,,-23.0,-29.0,7.0,-13.0,9.0,26.0,-26.0,-36.0,9.0
6,177,-15.0,4.0,,-20.0,-15.0,3.0,-19.0,7.0,38.0,-15.0,-13.0,2.0
7,178,-6.0,-3.0,,-17.0,-13.0,1.0,-14.0,7.0,44.0,-17.0,-12.0,1.0
8,179,-1.0,10.0,,-22.0,-36.0,6.0,-3.0,12.0,77.0,-25.0,-39.0,9.0
9,180,-7.0,10.0,,-27.0,-36.0,7.0,-7.0,9.0,79.0,-37.0,-39.0,9.0
10,181,-1.0,7.0,,-31.0,-37.0,7.0,-4.0,12.0,72.0,-33.0,-37.0,9.0
11,182,0.0,11.0,,-25.0,-35.0,7.0,-1.0,15.0,93.0,-34.0,-36.0,10.0
12,183,-7.0,6.0,,-25.0,-35.0,7.0,-14.0,9.0,44.0,-25.0,-36.0,9.0
13,184,-14.0,4.0,,-21.0,-17.0,3.0,-21.0,6.0,3.0,-23.0,-14.0,4.0
14,185,-3.0,-1.0,,-28.0,-13.0,2.0,-15.0,4.0,42.0,-18.0,-13.0,3.0
15,186,-6.0,8.0,,-32.0,-38.0,8.0,0.0,13.0,72.0,-26.0,-38.0,10.0
16,187,-4.0,9.0,,-29.0,-37.0,8.0,-1.0,12.0,70.0,-34.0,-38.0,11.0
17,188,-2.0,6.0,,-29.0,-37.0,8.0,-5.0,13.0,64.0,-35.0,-36.0,10.0
18,189,-4.0,7.0,,-28.0,-37.0,8.0,-4.0,12.0,111.0,-34.0,-37.0,9.0
19,190,-9.0,5.0,,-25.0,-37.0,7.0,-12.0,11.0,83.0,-23.0,-37.0,8.0
20,191,-19.0,2.0,,-23.0,-15.0,1.0,-18.0,9.0,43.0,-15.0,-12.0,3.0
21,192,-9.0,0.0,,-27.0,-13.0,1.0,-17.0,13.0,39.0,-18.0,-8.0,1.0
22,193,-2.0,8.0,,-26.0,-38.0,6.0,-6.0,6.0,39.0,-27.0,-42.0,12.0
23,194,-6.0,8.0,,-26.0,-37.0,7.0,1.0,16.0,101.0,-32.0,-40.0,11.0
24,195,-6.0,6.0,,-27.0,-37.0,7.0,-2.0,11.0,94.0,-34.0,-37.0,10.0
25,196,-2.0,13.0,,-28.0,-35.0,7.0,-1.0,16.0,100.0,-29.0,-36.0,10.0
26,197,-7.0,9.0,,-24.0,-36.0,6.0,-15.0,12.0,62.0,-24.0,-37.0,8.0
27,198,-19.0,10.0,,-9.0,-19.0,1.0,-25.0,9.0,39.0,-20.0,-12.0,3.0
28,199,-5.0,2.0,,-24.0,-13.0,0.0,-21.0,10.0,44.0,-17.0,-9.0,1.0
29,200,1.0,13.0,,-25.0,-39.0,6.0,1.0,16.0,103.0,-25.0,-40.0,10.0
30,201,0.0,11.0,,-24.0,-36.0,7.0,2.0,18.0,108.0,-30.0,-39.0,10.0
31,202,-2.0,13.0,,-28.0,-38.0,7.0,3.0,18.0,99.0,-32.0,-37.0,9.0
32,203,-3.0,17.0,,-29.0,-37.0,7.0,1.0,19.0,109.0,-34.0,-37.0,10.0
33,204,-7.0,8.0,,-26.0,-37.0,7.0,-7.0,13.0,127.0,-18.0,-37.0,7.0
34,205,-14.0,10.0,,-18.0,-19.0,1.0,-17.0,7.0,126.0,-1.0,-10.0,1.0
35,206,-3.0,5.0,,-20.0,-14.0,0.0,-8.0,8.0,61.0,-15.0,-2.0,1.0
36,207,-2.0,11.0,,-27.0,-39.0,7.0,12.0,19.0,142.0,-20.0,-47.0,9.0
37,208,-2.0,12.0,,-30.0,-37.0,8.0,16.0,19.0,146.0,-27.0,-45.0,10.0
38,209,1.0,7.0,,-33.0,-37.0,8.0,10.0,12.0,81.0,-27.0,-44.0,11.0
39,210,4.0,8.0,,-27.0,-36.0,8.0,14.0,19.0,126.0,-24.0,-44.0,10.0
40,211,0.0,10.0,,-22.0,-35.0,7.0,-4.0,5.0,23.0,-21.0,-45.0,10.0
41,212,-10.0,6.0,,-16.0,-16.0,2.0,-11.0,8.0,31.0,-9.0,-9.0,2.0
42,213,2.0,0.0,,-32.0,-12.0,0.0,-5.0,10.0,78.0,-9.0,-9.0,1.0
43,214,15.0,10.0,,-23.0,-37.0,6.0,19.0,18.0,151.0,-18.0,-48.0,9.0
44,215,0.0,11.0,,-27.0,-36.0,8.0,20.0,19.0,177.0,-25.0,-47.0,9.0
45,216,2.0,7.0,,-29.0,-35.0,7.0,11.0,11.0,115.0,-28.0,-45.0,10.0
46,217,0.0,11.0,,-29.0,-36.0,8.0,14.0,18.0,122.0,-28.0,-45.0,10.0
47,218,-6.0,6.0,,-29.0,-35.0,8.0,0.0,10.0,51.0,-21.0,-46.0,10.0
48,219,-11.0,5.0,,-16.0,-17.0,2.0,-13.0,4.0,32.0,-10.0,-14.0,2.0
49,220,-10.0,-3.0,,-32.0,-17.0,2.0,-4.0,9.0,71.0,-11.0,-10.0,1.0
50,221,3.0,9.0,,-27.0,-34.0,7.0,17.0,17.0,152.0,-17.0,-47.0,9.0
51,222,4.0,11.0,,-23.0,-34.0,7.0,20.0,18.0,172.0,-25.0,-47.0,9.0
52,223,-2.0,5.0,,-30.0,-35.0,9.0,13.0,9.0,147.0,-22.0,-45.0,9.0
53,224,2.0,11.0,,-28.0,-32.0,7.0,11.0,10.0,148.0,-21.0,-45.0,9.0
54,225,-4.0,7.0,,-21.0,-34.0,7.0,-3.0,6.0,88.0,-14.0,-46.0,8.0
55,226,-9.0,7.0,,-12.0,-16.0,1.0,-15.0,-1.0,40.0,-8.0,-15.0,1.0
56,227,0.0,2.0,,-23.0,-14.0,0.0,-7.0,4.0,63.0,-10.0,-10.0,1.0
57,228,3.0,12.0,,-24.0,-32.0,7.0,16.0,12.0,149.0,-14.0,-48.0,9.0
58,229,6.0,13.0,,-23.0,-30.0,7.0,20.0,14.0,151.0,-19.0,-48.0,9.0
59,230,6.0,13.0,,-28.0,-29.0,7.0,14.0,8.0,235.0,-12.0,-45.0,9.0
60,231,1.0,15.0,,-19.0,-27.0,6.0,15.0,11.0,,-10.0,-45.0,9.0
61,232,-3.0,8.0,,-12.0,-26.0,6.0,1.0,6.0,167.0,0.0,-46.0,7.0
62,233,-14.0,7.0,,-22.0,-14.0,3.0,-15.0,-1.0,81.0,11.0,-14.0,3.0
63,234,-4.0,1.0,,-23.0,-13.0,2.0,-4.0,8.0,53.0,-4.0,-9.0,1.0
64,235,3.0,13.0,,-12.0,-26.0,5.0,22.0,15.0,162.0,-12.0,-48.0,8.0
65,236,0.0,13.0,,-14.0,-26.0,6.0,21.0,16.0,170.0,-17.0,-47.0,9.0
66,237,5.0,12.0,,-20.0,-28.0,6.0,19.0,14.0,143.0,-18.0,-46.0,8.0
67,238,4.0,17.0,,-18.0,-26.0,6.0,22.0,17.0,146.0,-21.0,-46.0,9.0
68,239,2.0,13.0,,-9.0,-26.0,5.0,5.0,13.0,108.0,-12.0,-48.0,7.0
69,240,5.0,7.0,,-7.0,-14.0,0.0,-10.0,5.0,121.0,1.0,-14.0,-1.0
70,241,0.0,1.0,,-20.0,-17.0,1.0,4.0,7.0,126.0,-2.0,-10.0,0.0
71,242,2.0,12.0,,-17.0,-30.0,6.0,30.0,5.0,,-14.0,-74.0,12.0
72,243,2.0,12.0,,-16.0,-27.0,7.0,22.0,23.0,108.0,-22.0,-48.0,9.0
73,244,4.0,11.0,,-18.0,-27.0,6.0,13.0,13.0,98.0,-27.0,-45.0,9.0
74,245,2.0,13.0,,-17.0,-26.0,6.0,11.0,12.0,109.0,-27.0,-44.0,9.0
